,Iris ,Iris ,Iris 
Method ,Parameters Phi (μ),"IN (T,Z)",H (T|Z)
FCM-I-fs ,"c=3,σ=0.6,m=1.20", "0.947,0.000 (8.0,0.0)", "0.845,0.000","0.172,0.000"
FCM-II-fs ,"c=3,σ=0.6,λ=0.1", "0.923,0.017 (11.5,2.6)", "0.810,0.024","0.214,0.029"
FCM-I-km ,"c=3,σ=3,m=2.4", "0.907,0.000 (14.0,0.0)", "0.766,0.000","0.260,0.000"
FCM-II-km ,"c=3,σ=5,λ=0.2", "0.913,0.000 (13.0,0.0)", "0.745,0.000","0.283,0.000"
SVC ,"c=3,C=1,σ=0.35", "0.680,0.000 (48.0,0.0)", "0.736,0.000","0.453,0.000"
FCM-I ,"c=3,m=2.4", "0.900,0.000 (15.0,0.0)", "0.758,0.000", "0.270,0.000"
FCM-II ,"c=3,λ=5.4", "0.913,0.000 (13.0,0.0)","0.745,0.000","0.283,0.000"
K-means ,"c=3", "0.860,0.083 (21.1,12.5)","0.733,0.061","0.309,0.087"
,Breast ,,
Method ,Parameters Phi (μ),"IN (T,Z)",H (T|Z)
FCM-I-fs ,"c=3,σ=7.2,m=1.2", "0.972,0.003 (18.9,2.2)","0.702,0.039","0.103,0.014"
FCM-II-fs ,"c=2,σ=8,λ=0.35", "0.972,0.000 (19.0,0.0)","0.814,0.000","0.116,0.000"
FCM-I-km ,"c=2,σ=0.1,m=1.2", "0.653,0.000 (237.0,0.0)","0.009,0.000","0.646,0.000"
FCM-II-km ,"c=2,σ=0.01,λ=0.02", "0.652,0.000 (238.0,0.0)","0.007,0.000","0.646,0.000"
SVC ,"c=3,C=1,σ=3.75", "0.652,0.000 (238.0,0.0)","0.018,0.000","0.646,0.000"
FCM-I ,"c=2,m=1.2", "0.960,0.000 (27.0,0.0)","0.748,0.000","0.166,0.000"
FCM-II ,"c=2,λ=400", "0.972,0.000 (19.0,0.2)","0.812,0.002","0.118,0.001"
K-means ,"c=2", "0.960,0.000 (27.0,0.0)","0.748,0.000","0.166,0.000"
,Ecoli ,,
Method ,Parameters Phi (μ),"IN (T,Z)",H (T|Z)
FCM-I-fs ,"c=7,σ=0.6,m=1.6", "0.732,0.001 (90.0,0.2)","0.459,0.001","0.731,0.002"
FCM-II-fs ,"c=7,σ=0.8,λ=0.09", "0.727,0.009 (91.8,2.9)","0.455,0.012","0.739,0.022"
FCM-I-km ,"c=7,σ=0.1,m=1.2", "0.446,0.000 (186.0,0.0)","0.046,0.000","1.446,0.000"
FCM-II-km ,"c=7,σ=0.1,λ=0.002", "0.443,0.000 (187.0,0.0)","0.045,0.000","1.448,0.000"
SVC ,"c=7,C=1,σ=0.22", "0.446,0.000 (186.0,0.0)","0.148,0.000","1.450,0.000"
FCM-I ,"c=7,m=1.6", "0.724,0.001 (92.8,0.4)","0.458,0.004","0.738,0.007"
FCM-II ,"c=7,λ=0.06", "0.720,0.009 (94.1,3.1)","0.453,0.015","0.746,0.025"
K-means ,"c=7", "0.705,0.016 (99.0,5.4)","0.429,0.024","0.790,0.047"
,Glass ,,
Method ,Parameters Phi (μ) (μ),"IN (T,Z)",H (T|Z)
FCM-I-fs ,"-c=6,σ=1,m=1.4", "0.623,0.019 (80.8,4.1)","0.408,0.006","0.856,0.013"
FCM-II-fs ,"c=6,σ=0.8,λ=0.2", "0.624,0.010 (80.5,2.2)","0.381,0.012","0.898,0.018"
FCM-I-km ,"c=6,σ=2,m=1.2", "0.463,0.000 (115.0,0.0)","0.074,0.000","1.391,0.000"
FCM-II-km ,"c=6,σ=10,λ=0.001", "0.393,0.000 (130.0,0.0)","0.039,0.000","1.451,0.000"
SVC ,"c=6,C=1,σ=1.3", "0.379,0.000 (133.0,0.0)","0.129,0.000","1.443,0.000"
FCM-I ,"c=6,m=1.8", "0.610,0.002 (83.4,0.5)","0.363,0.001","0.946,0.0009"
FCM-II ,"c=6,λ=1.2", "0.614,0.038 (82.5,8.2)","0.343,0.027","0.976,0.0349"
K-means ,"c=6", "0.571,0.015 (91.7,3.2)","0.404,0.022","0.948,0.026"
,Lung ,,
Method ,Parameters Phi (μ) (μ),"IN (T,Z)",H (T|Z)
FCM-I-fs ,"c=3,σ=4,m=1.2", "0.563,0.000 (14.0,0.0)","0.300,0.000","0.760,0.000"
FCM-II-fs ,"c=3,σ=6,λ=0.1", "0.581,0.029 (13.4,0.9)","0.290,0.028","0.777,0.024"
FCM-I-km ,"c=3,σ=70,m=2", "0.553,0.035 (14.3,1.1)","0.293,0.048","0.788,0.054"
FCM-II-km ,"c=3,σ=10,λ=0.06", "0.603,0.015 (12.7,0.5)","0.328,0.005","0.754,0.009"
SVC ,"c=4,C=1,σ=1.9", "0.500,0.000 (16.0,0.0)","0.173,0.000","0.970,0.000"
FCM-I ,"c=3,m=2.2", "0.548,0.030 (14.5,0.9)","0.285,0.061","0.790,0.065"
FCM-II ,"c=3,λ=5", "0.633,0.042 (11.8,1.3)","0.363,0.000","0.707,0.011"
K-means ,"c=3", "0.538,0.024 (14.8,0.8)","0.279,0.055","0.796,0.055"
