class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-color;has-ring;ring-type;habitat;season
e;1.26;x;g;y;f;d;c;w;5.04;1.73;y;f;f;d;a
e;10.32;f;e;b;f;a;c;b;4.68;19.44;w;t;f;d;a
p;0.92;x;g;p;f;a;c;p;4.59;1.15;k;f;f;d;u
p;4.27;x;t;p;f;x;c;w;4.55;6.52;w;f;f;d;a
e;3.08;f;s;w;f;d;d;w;2.67;5.18;w;f;f;m;a
p;1.31;s;s;y;f;f;f;f;3.2;5.39;y;f;f;d;a
p;2.58;f;t;r;f;a;c;y;4.87;6.19;y;f;f;d;a
p;18.52;f;k;w;t;d;d;w;6.94;29.1;w;f;f;d;a
e;10.89;x;s;n;t;e;c;n;8.03;17.11;w;t;l;m;a
e;5.64;x;h;y;t;x;c;y;7.55;15.69;w;f;f;d;u
e;8.84;x;t;n;t;p;c;n;7.97;16.35;n;t;p;d;u
e;1.51;f;w;g;f;a;d;k;5.2;2.57;w;f;f;g;w
e;10.62;x;t;n;t;a;c;w;13.97;18.09;w;t;g;d;u
p;3.31;x;t;n;f;s;c;n;6.18;10.09;w;t;z;d;u
p;7.26;x;e;e;f;a;c;n;10.07;12.07;e;t;z;d;a
p;6.82;x;t;n;t;x;c;u;8.15;19.87;u;f;f;d;a
p;2.47;x;s;o;f;d;c;o;3.04;5.44;o;f;f;h;a
p;5.75;c;i;y;f;a;c;n;7.01;9.12;w;f;f;d;a
e;5.5;x;y;g;f;s;c;w;4.83;7.96;w;f;f;d;u
p;17.48;f;k;n;f;d;c;y;6.68;45.72;k;f;f;d;a
p;6.14;o;s;n;f;a;c;w;0.0;0.0;f;f;f;d;a
e;8.18;f;s;y;f;d;d;w;7.89;13.46;n;t;f;d;a
p;3.31;f;s;o;f;d;c;y;3.1;6.53;o;f;f;h;a
e;1.41;x;g;n;f;d;c;w;4.81;1.83;y;f;f;d;a
p;1.01;x;g;w;f;a;d;w;3.21;1.77;n;f;f;d;u
p;3.53;f;d;n;f;x;c;w;4.33;2.85;n;f;f;l;u
e;10.45;f;t;n;t;a;c;w;11.45;18.05;w;t;g;d;a
e;15.62;x;s;w;t;e;c;g;9.43;18.24;w;t;l;m;u
p;3.47;b;t;p;f;a;c;y;5.23;5.93;y;f;f;m;u
p;16.87;f;k;w;t;d;d;w;6.95;25.38;w;f;f;d;u
p;8.52;o;e;r;f;a;c;o;1.41;14.19;n;f;f;d;w
p;1.43;x;t;n;f;a;c;n;4.49;2.09;n;f;f;g;a
p;2.07;f;i;k;f;a;c;p;3.39;2.55;w;f;f;g;u
p;8.48;o;t;n;f;f;f;f;2.74;23.63;n;f;f;d;s
e;4.5;f;g;n;f;a;d;g;6.39;3.59;g;f;f;d;u
p;5.72;s;t;e;t;d;c;b;5.73;6.16;n;f;f;d;a
e;17.51;f;y;w;f;a;c;w;23.62;20.28;n;t;m;m;u
p;7.56;s;t;o;t;d;c;o;4.88;11.75;w;t;f;d;a
p;6.24;x;s;n;f;s;c;g;5.8;7.25;n;f;f;d;w
e;12.01;f;t;g;f;d;c;w;2.61;13.71;w;f;f;d;w
e;7.42;x;d;n;t;p;c;r;6.45;12.37;y;f;f;d;a
e;8.66;f;e;b;f;a;c;b;5.05;19.91;w;t;f;d;a
e;6.66;x;t;n;t;p;c;g;9.84;23.65;w;f;f;d;a
e;6.01;x;h;n;f;e;c;w;12.75;13.41;n;f;f;d;u
p;3.79;b;t;n;f;x;c;p;5.64;4.14;n;f;f;m;a
p;2.24;x;y;o;f;d;c;y;2.68;4.77;y;f;f;m;a
p;3.41;s;d;w;f;a;d;p;3.46;2.55;w;f;f;g;a
e;8.48;x;t;e;f;x;c;w;6.49;16.49;w;f;f;d;u
e;1.0;c;g;e;t;a;c;w;6.1;1.07;n;f;f;d;u
p;2.75;f;h;n;f;a;c;n;7.17;2.75;y;f;f;g;u
p;7.39;o;t;n;f;a;c;y;1.42;13.92;y;f;f;d;w
e;4.5;x;h;n;f;x;c;n;5.2;5.64;n;t;r;d;w
e;1.17;f;g;e;t;a;c;p;6.2;1.14;n;f;f;d;u
p;7.94;s;t;y;f;x;c;y;6.44;15.98;y;f;f;d;a
p;2.24;f;t;w;f;a;c;w;3.32;3.65;u;f;f;d;a
e;5.77;s;d;o;f;d;d;o;6.01;13.24;w;f;f;d;a
e;8.64;x;e;y;f;x;c;w;8.48;18.15;w;f;f;d;u
p;2.32;c;h;n;f;a;c;n;7.9;3.07;y;f;f;g;a
p;16.36;f;h;o;f;e;c;w;16.99;17.33;w;t;g;d;u
e;46.08;o;y;y;f;p;c;y;5.41;23.74;n;f;f;d;s
e;3.25;x;d;n;f;p;c;e;3.73;9.37;y;f;f;d;a
p;15.27;f;h;e;f;e;c;w;17.82;18.21;w;t;p;d;a
p;6.0;p;y;n;f;a;c;g;8.5;12.27;w;t;z;g;w
e;9.5;f;t;n;f;s;c;b;6.6;19.03;u;f;f;d;w
e;4.69;x;t;w;f;x;c;n;7.84;9.51;w;t;f;d;u
e;53.39;o;y;y;f;p;c;y;6.62;29.07;k;f;f;d;u
p;1.35;x;s;y;f;f;f;f;3.78;5.87;y;f;f;d;a
p;7.27;x;t;g;t;x;c;u;10.2;20.62;g;f;f;d;a
p;6.27;s;t;e;t;d;c;p;5.96;4.77;n;f;f;d;a
p;0.79;f;t;o;f;d;c;o;4.34;1.03;o;f;f;g;a
p;4.28;x;t;b;f;x;c;w;5.05;6.22;w;f;f;d;u
e;9.59;o;t;n;f;a;c;w;5.02;26.32;n;f;f;d;a
p;10.29;x;e;y;t;p;c;e;8.36;27.01;u;f;f;d;a
e;12.7;s;t;w;t;d;c;w;6.8;27.56;w;f;f;d;u
e;5.5;s;l;n;f;f;f;f;5.26;50.6;n;f;f;l;u
e;7.54;x;d;e;t;p;c;y;6.76;13.98;e;f;f;d;u
p;0.62;x;g;o;f;a;c;y;3.36;0.71;w;f;f;d;a
e;9.51;x;h;n;t;p;c;y;7.42;17.87;n;t;p;d;a
e;4.94;f;h;g;f;s;d;g;4.47;9.29;g;f;f;d;a
e;10.97;f;y;w;f;e;c;w;14.12;12.4;w;t;e;g;w
e;8.12;x;h;n;f;p;d;y;7.49;12.46;n;f;f;h;u
e;8.89;f;s;w;f;e;c;w;19.43;11.24;w;t;e;g;w
e;3.4;f;h;n;f;a;c;k;4.78;6.06;w;f;f;d;u
p;1.45;x;k;n;f;a;c;n;4.34;1.45;n;f;f;d;w
p;9.79;x;y;n;f;a;c;y;14.04;13.2;n;t;f;d;u
e;5.9;s;l;n;f;f;f;f;8.24;57.68;n;f;f;l;a
p;3.24;x;t;n;f;s;c;p;5.12;8.74;w;t;z;d;a
p;10.47;x;t;n;f;e;c;w;10.64;13.22;w;t;g;d;u
e;3.56;x;d;n;f;p;c;n;5.21;10.28;y;f;f;d;a
e;3.6;f;t;y;f;x;c;n;6.28;3.64;w;f;f;d;u
e;9.25;x;y;n;t;e;c;p;8.9;16.71;w;t;l;l;a
e;6.73;f;y;w;f;e;c;k;4.58;12.0;w;t;e;g;u
p;6.79;x;t;y;f;x;c;y;5.54;15.82;y;f;f;d;a
e;8.19;x;w;y;f;f;f;f;4.44;12.29;y;f;f;d;u
p;5.79;s;d;n;t;d;c;w;7.21;9.04;n;f;f;d;a
e;1.55;x;w;g;f;a;d;k;5.1;2.58;w;f;f;g;u
e;12.01;s;t;w;t;d;c;o;6.37;18.11;w;f;f;d;u
p;1.62;o;k;n;f;a;c;n;4.83;1.63;n;f;f;d;a
p;1.38;x;g;y;f;d;d;n;2.31;2.65;n;f;f;h;u
e;7.6;x;d;e;t;p;c;y;5.58;11.61;e;f;f;d;a
p;8.59;x;i;n;f;a;c;k;7.6;7.85;n;t;z;g;u
p;4.11;b;t;n;f;a;c;k;11.11;7.12;w;t;f;g;a
p;6.0;f;w;e;f;x;c;w;13.81;7.12;n;f;f;d;a
p;6.69;f;d;n;t;d;c;w;6.06;8.69;e;f;f;d;a
p;4.59;s;t;u;f;a;c;w;5.33;8.04;y;f;f;d;u
p;2.64;f;d;b;f;x;c;y;3.5;2.93;n;f;f;l;u
e;9.38;p;t;n;f;a;c;w;7.35;13.86;w;f;f;d;u
p;4.02;x;s;o;f;a;c;y;6.09;7.84;o;f;f;g;a
e;5.66;x;h;n;f;x;c;n;5.61;6.06;n;t;r;d;u
e;4.46;x;k;n;f;p;c;e;4.93;10.71;y;f;f;d;a
p;9.1;x;h;r;f;a;c;w;11.23;15.48;w;t;g;d;u
e;5.24;x;y;g;f;s;c;w;4.08;7.52;w;f;f;d;u
p;5.88;x;t;y;f;s;d;y;4.92;11.15;y;f;f;d;a
e;8.13;p;t;g;f;a;c;w;8.32;13.91;w;f;f;d;a
p;11.95;f;d;e;f;p;c;y;4.8;30.98;n;f;f;d;w
e;8.92;x;t;n;t;p;c;n;7.56;18.51;n;t;p;d;a
e;9.09;f;y;e;f;a;c;w;7.3;26.07;n;t;e;d;a
p;3.59;f;y;w;f;e;c;w;4.2;3.49;w;t;e;m;a
e;3.15;s;t;n;f;f;f;f;6.25;8.35;y;f;f;d;a
e;10.26;f;t;n;t;a;c;w;11.29;15.92;w;t;g;d;a
p;11.71;x;t;n;f;a;d;w;9.17;28.26;w;f;f;d;a
p;5.81;x;d;e;t;d;c;n;6.7;8.09;e;f;f;d;a
p;2.53;x;g;n;f;a;c;p;6.69;2.5;w;f;f;d;u
p;3.13;s;s;g;f;d;c;w;3.43;8.72;w;f;f;g;a
p;6.01;x;t;n;f;d;c;y;5.6;9.04;n;f;f;l;a
e;5.94;x;t;g;f;a;d;n;5.99;4.51;w;t;l;d;u
p;1.38;x;k;n;f;a;c;n;3.74;1.53;n;f;f;d;w
p;2.55;f;t;w;f;x;c;p;6.72;3.49;n;f;f;d;u
e;8.04;x;t;g;t;p;c;g;11.35;26.06;w;f;f;d;u
e;9.88;x;i;n;t;e;c;p;8.77;16.49;w;t;p;d;a
p;4.19;f;k;w;f;s;c;p;4.24;3.2;n;f;f;g;u
